BASE Station,,Target Station,,Target Azimuth,,,Target Elevation,,,,Target Distance (feet),,,
name,height  (m),name,height  (m),dd,mm,ss,sgn,dd,mm,ss,S,H,V,note
BR1,1.237,BR2,0.000,0,0,0,-,1,33,11,198.27,198.20,-5.37,
BR1,1.237,M00,0.000,68,50,24,+,0,17,21,222.96,222.96,1.13,
BR1,1.237,M01,0.000,68,42,58,+,3,36,54,224.53,224.08,14.16,
BR1,1.237,M02,0.000,72,23,4,+,0,17,10,227.11,227.11,1.13,
BR1,1.237,M04,0.000,62,29,29,+,0,16,58,230.24,230.24,1.14,
BR1,1.237,M04,0.000,62,29,17,+,0,17,6,230.24,230.24,1.15,
BR1,1.237,M05,0.000,62,34,55,+,3,30,4,231.78,231.35,14.15,
BR1,1.324,BR2,0.000,0,0,0,-,1,38,0,198.28,198.20,-5.65,
BR1,1.324,ELS,1.896,320,53,41,+,3,2,58,189.08,188.81,10.06,cube reflector
BR1,1.350,BR2,0.000,0,0,0,-,1,39,26,198.38,198.30,-5.74,cube reflector
BR1,1.350,M00,0.000,68,50,43,+,0,11,50,222.96,222.96,0.77,???
BR1,1.350,M00,0.000,68,50,44,+,0,17,34,222.96,222.96,1.14,
BR1,1.350,M00,0.000,68,50,40,+,0,17,25,222.96,222.96,1.13,
BR1,1.350,M02,0.000,72,23,8,+,0,11,48,227.12,227.12,0.80,
BR1,1.350,M02,0.000,72,23,8,+,0,11,40,227.12,227.12,0.84,
BR1,1.350,M02,0.000,72,23,8,+,0,11,40,227.12,227.12,0.77,
BR1,1.350,M03,0.000,72,20,38,+,3,27,18,228.72,228.30,13.78,blocked by support
BR1,1.392,BR2,0.000,0,0,0,-,1,42,4,198.29,198.20,-5.89,
BR1,1.392,M00,0.000,68,50,26,+,0,9,34,222.96,222.96,0.62,
BR1,1.392,M00,-0.181,68,50,32,+,0,0,36,222.86,222.86,0.04,
BR1,1.392,M01,0.000,68,42,48,+,3,29,5,224.49,224.06,13.64,
BR1,1.392,M02,0.000,72,23,0,+,0,9,31,227.12,227.11,0.63,
BR1,1.392,M03,-0.181,72,20,5,+,3,16,2,228.67,228.30,13.02,
BR1,1.392,M04,0.000,62,29,3,+,0,9,26,230.23,230.23,0.63,
BR1,1.392,M04,-0.181,62,29,4,+,0,0,34,230.14,230.14,0.04,
BR1,1.392,M04,0.178,62,29,11,+,0,18,20,230.30,230.29,1.23,
BR1,1.392,M05,0.000,62,34,44,+,3,22,28,231.75,231.36,13.64,
BR1,1.392,M05,0.000,62,34,52,+,3,22,31,231.76,231.36,13.64,
BR2,1.304,BR1,0.000,0,0,0,-,0,51,3,198.23,198.20,-2.95,
BR2,1.304,ELS,1.896,0,0,0,+,5,1,54,130.37,129.87,11.43,cube reflector
BR2,1.390,BR1,0.000,0,0,16,-,0,56,9,198.24,198.21,-3.24,
BR2,1.390,M10,0.000,291,8,29,+,0,30,11,222.88,222.88,1.96,
BR2,1.390,M10,0.181,291,9,7,+,0,39,22,222.99,222.97,2.55,
BR2,1.390,M10,-0.181,291,8,0,+,0,21,2,222.78,222.78,1.36,
BR2,1.390,M10,0.000,291,8,33,+,0,30,20,222.88,222.88,1.97,
BR2,1.390,M11,0.000,291,15,15,+,3,49,20,224.46,223.97,14.96,
BR2,1.390,M06,-0.181,297,29,53,+,0,20,1,230.11,230.11,1.34,
BR2,1.390,M06,0.181,297,29,53,+,0,38,6,230.29,230.29,2.55,
BR2,1.390,M07,0.000,297,25,51,+,3,44,57,231.83,231.34,15.16,
BR2,1.390,M07,-0.181,297,25,51,+,3,32,47,231.80,231.36,14.34,
BR2,1.390,M07,0.181,297,25,51,+,3,50,50,231.83,231.31,15.55,
BR2,1.390,M08,0.000,287,36,28,+,0,29,36,227.09,227.07,1.95,
BR2,1.390,M09,-0.181,287,39,40,+,3,36,15,228.67,228.22,14.37,
BR2,1.390,M09,0.181,287,39,40,+,3,54,25,228.70,228.17,15.58,
BR2,1.441,BR1,0.000,0,0,0,-,0,59,19,198.24,198.21,-3.42,
BR2,1.441,M10,0.000,291,8,38,+,0,27,23,222.88,222.88,1.78,
BR2,1.441,M11,0.000,291,15,27,+,3,46,33,224.45,223.97,14.78,
BR2,1.441,M06,0.000,297,30,8,+,0,26,5,230.21,230.20,1.75,
BR2,1.441,M07,0.000,297,25,38,+,3,39,11,231.85,231.38,14.77,
BR2,1.441,M08,0.000,287,36,26,+,0,26,43,227.08,227.08,1.77,
CLF1,0.000,CLF2,0.000,0,0,0,-,0,0,0,591.95,591.95,0.00,
CLF1,0.000,CLF,0.000,216,14,48,+,0,0,0,55.15,55.15,0.00,
CLF1,0.000,CLF,0.000,216,15,40,+,0,0,0,55.15,55.15,0.00,
CLF1,1.481,CLF2,0.280,0,0,0,-,0,23,52,591.97,591.95,-4.11,
LR1,1.470,LR2,0.000,0,0,0,-,0,56,14,194.13,194.09,-3.18,
LR1,1.470,M10,0.181,292,20,23,+,4,41,53,221.98,221.24,18.18,
LR1,1.470,M11,0.000,292,27,35,+,7,49,29,224.28,222.19,30.53,
LR1,1.470,M11,0.181,292,27,23,+,7,58,44,224.34,222.16,31.14,
LR1,1.470,M11,-0.181,292,27,23,+,7,40,22,224.23,222.22,29.94,
LR1,1.470,M06,0.181,298,44,28,+,4,33,8,229.14,228.14,18.19,
LR1,1.470,M07,0.000,298,38,58,+,7,34,55,231.51,229.49,30.54,
LR1,1.470,M08,0.181,288,47,17,+,4,36,47,226.20,225.47,18.19,
LR1,1.470,M09,0.000,288,50,36,+,7,41,11,228.66,226.60,30.58,
LR2,1.424,LR1,0.000,0,0,0,-,1,50,57,194.21,194.11,-6.27,
LR2,1.424,M00,0.178,70,20,24,+,4,24,25,216.87,216.22,16.66,
LR2,1.424,M01,0.000,70,11,58,+,7,37,9,219.12,217.19,29.05,
LR2,1.424,M01,0.178,70,12,22,+,7,46,21,219.17,217.15,29.64,
LR2,1.424,M01,-0.181,70,11,41,+,7,27,32,219.06,217.22,28.44,
LR2,1.424,M02,0.178,73,59,27,+,4,19,27,221.02,220.39,16.67,
LR2,1.424,M03,0.000,73,56,46,+,7,28,21,223.38,221.48,29.04,
LR2,1.424,M04,0.178,63,46,44,+,4,15,58,224.25,223.63,16.68,
LR2,1.424,M05,0.000,63,52,20,+,7,22,20,226.54,224.67,29.07,
LR2,1.424,M05,-0.181,63,52,42,+,7,13,12,226.49,224.69,28.46,
LR2,1.424,M05,0.178,63,52,23,+,7,31,20,226.60,224.65,29.66,
MD1,1.527,MD2,1.675,0,0,0,-,1,14,23,701.59,701.42,-15.17,
MD1,1.527,CXF,0.030,67,39,28,+,8,22,58,11.90,11.77,1.74,
MD1,1.527,M01,0.000,176,2,34,+,1,8,19,81.09,81.07,1.64,
MD1,1.527,M10,0.000,257,0,58,+,1,0,17,73.97,73.96,1.30,
MD1,1.527,M11,0.000,270,4,55,+,1,15,12,74.68,74.66,1.63,
MD1,1.527,M12,0.000,276,9,43,+,0,59,29,75.15,75.14,1.30,
MD1,1.527,M13,0.000,288,58,34,+,1,13,49,76.41,76.39,1.64,
MD1,1.527,M14,0.000,294,54,36,+,0,58,43,77.22,77.21,1.32,partially blocked
MD1,1.527,M02,0.000,181,40,27,+,0,54,48,80.08,80.07,1.30,
MD1,1.527,M03,0.000,193,52,26,+,1,11,37,78.08,78.06,1.63,
MD1,1.527,M04,0.000,199,45,15,+,0,57,50,77.19,77.19,1.30,
MD1,1.527,M05,0.000,212,24,54,+,1,12,59,75.78,75.77,1.61,partially blocked
MD1,1.527,M06,0.000,218,28,1,+,0,58,33,75.19,75.18,1.28,
MD1,1.527,M07,0.000,231,26,43,+,1,14,51,74.24,74.23,1.62,
MD1,1.527,M08,0.000,237,37,7,+,0,59,10,73.99,73.98,1.27,
MD1,1.527,M09,0.000,250,49,44,+,1,17,19,73.87,73.84,1.66,
MD1,1.535,MD2,1.148,103,9,47,-,1,23,2,701.64,701.43,-16.94,cube reflector
MD1,1.535,CXF,0.030,170,48,59,+,8,12,27,11.89,11.77,1.70,
MD1,1.535,M01,0.000,279,12,53,+,1,6,45,81.17,81.15,1.57,
MD1,1.535,M10,0.000,0,10,37,+,0,58,26,73.98,73.96,1.26,
MD1,1.535,M11,0.000,13,14,37,+,1,13,30,74.68,74.66,1.59,
MD1,1.535,M12,0.000,19,19,31,+,0,57,45,75.15,75.14,1.26,
MD1,1.535,M13,0.000,32,8,0,+,1,12,17,76.41,76.39,1.61,
MD1,1.535,M02,0.000,284,50,23,+,0,53,32,80.09,80.07,1.25,284 56?
MD1,1.535,M03,0.000,297,2,38,+,1,9,59,78.09,78.07,1.59,
MD1,1.535,M04,0.000,302,55,7,+,0,56,20,77.20,77.19,1.26,
MD1,1.535,M06,0.000,321,37,35,+,0,56,57,75.19,75.17,1.25,
MD1,1.535,M07,0.000,334,36,35,+,1,13,22,74.24,74.22,1.58,
MD1,1.535,M08,0.000,340,46,57,+,0,57,38,73.99,73.98,1.24,
MD1,1.535,M09,0.000,353,59,27,+,1,15,33,73.86,73.84,1.62,
MD1,1.535,MD2,1.148,103,9,57,-,1,23,2,701.64,701.42,-16.95,cube reflector
BR1,0,LSR1,0.03,291,26,10,-,0,44,31,613.75,613.71,-7.85,cube reflector
BR1,0,LSR1,0.03,291,26,6,-,0,44,4,613.75,613.71,-7.85,cube reflector
BR1,0,LSR2,0.03,286,46,43,-,0,25,16,1017.12,1017.09,-7.46,cube reflector
BR1,0,LSR2,0.03,286,46,42,-,0,25,20,1017.11,1017.1,-7.45,cube reflector
